Rk,Player,Team,Salary,PlayerID
304,Tyrese Maxey,PHI,$2726880,maxeyty01
305,Walker Kessler,UTA,$2696400,kesslwa01
306,Keon Johnson,POR,$2681040,johnske07
307,T.J. Warren,BRK,$2628597,warretj01
308,Trey Lyles,SAC,$2625000,lylestr01
309,Zeke Nnaji,DEN,$2617800,nnajize01
310,David Roddy,MEM,$2588640,roddyda01
311,Isaiah Jackson,IND,$2573760,jacksis01
312,MarJon Beauchamp,MIL,$2485200,beaucma01
313,Leandro Bolmaro,UTA,$2471160,bolmale01
314,Usman Garuba,HOU,$2471160,garubus01
315,Raul Neto,CLE,$2463490,netora01
316,Frank Kaminsky,ATL,$2463490,kaminfr01
317,Willy Hernangómez,NOP,$2443581,hernawi01
318,R.J. Hampton,ORL,$2412840,hamptrj01
319,Blake Wesley,SAS,$2385480,weslebl01
320,Josh Christopher,HOU,$2372160,chrisjo01
321,Stanley Johnson,LAL,$2351521,johnsst04
322,Immanuel Quickley,NYK,$2316240,quickim01
323,John Konchar,MEM,$2300000,konchjo01
324,Bryn Forbes,MIN,$2298385,forbebr01
325,Damian Jones,LAL,$2298385,jonesda03
326,Quentin Grimes,NYK,$2277000,grimequ01
327,Nikola Jović,MIA,$2239920,jovicni01
328,Payton Pritchard,BOS,$2239200,pritcpa01
329,Patrick Baldwin Jr.,GSW,$2226000,baldwpa01
330,TyTy Washington Jr.,HOU,$2210040,washity02
331,Bones Hyland,DEN,$2201400,hylanbo01
332,Bol Bol,ORL,$2200000,bolbo01
333,Peyton Watson,DEN,$2193960,watsope01
334,Marquese Chriss,HOU,$2193920,chrisma01
335,Udoka Azubuike,UTA,$2174880,azubuud01
336,Jaden McDaniels,MIN,$2161440,mcdanja02
337,Jordan McLaughlin,MIN,$2160000,mclaujo01
338,Malachi Flynn,TOR,$2145720,flynnma01
339,Cam Thomas,BRK,$2138160,thomaca02
340,Luke Kornet,BOS,$2133278,kornelu01
341,Damion Lee,PHO,$2133278,leeda03
342,Thomas Bryant,LAL,$2133278,bryanth01
343,D.J. Wilson,TOR,$2133278,wilsodj01
344,Desmond Bane,MEM,$2130240,banede01
345,Jaden Springer,PHI,$2125200,sprinja01
346,Day'Ron Sharpe,BRK,$2109360,sharpda01
347,Jevon Carter,MIL,$6025000,carteje01
348,Vlatko Čančar,DEN,$2098765,cancavl01
349,Santi Aldama,MEM,$2094240,aldamsa01
